,Target,Text
0,Clothing & Accessories,"Kandy Men's Regular Fit Blazer Blue This product is made from velvet and finished in an attractive blue color. It features plain / solid pattern, long sleeve, buttoned closure and is targeted towards men. Furthermore, it is recommended to be kept away from extreme heat, fire and corrosive liquids to avoid any form of damage."
1,Household,HealthSense Chef-Mate KS 50 Digital Kitchen Scale (Grey)
2,Books,Concept of Physics (2018-2019) Session (Set of 2 Volume) 
3,Household,"Lista Stainless Steel Multi Functional Hammer Axe Hand Tool Kit (Multicolour) Lista multi functional hammer axe hand tool kit plier knife screwdriver can bottle opener wood saw for home travel camping picnic. Tools included: 1 hammer, 1 axe, 1 pair of pliers,. 1 saw, 1 wire cutter, needle nose pliers, 1 philips head screwdriver, 1 hexagonal screwdriver, 1 can opener. Item weight: 422 g. Item part number: MTA83."
4,Books,Gardening in Urban India update
5,Household,"ADTALA 20 LED Bright Outdoor ABS Security Light with Motion Sensor Wireless Waterproof Night Lighting Solar Powered Spotlight for Garden, Wall, Path, Patio, Front Door, Deck, Driveway Item Package Quantity:2   Specification: 1. Solar lights panel: 0.48W. 17% efficiency 2. Sensor lights Li-ion battery: 2.96WH 3. Lightning deals LED power: 1W,6000K to 6500K 4. Outdoor led lights night sensor: <10Lux 5. Motion angle and distance: 120°, 3m.  6. Outdoor lighting delay time: 30s.  7. Solar power light switch: OFF/AUTO 8. Solar lighting mode:- Dim - High light Package Include: 1x Mounting Kits(include：2 Screw/2 Sleeve/1 Activation Pin Key)  1x Instruction Manual of outdoor lights solar  TIPS: 1. Please fully charge the outdoor solar light before first use.  2. lf there is no good sunlight in 3 months, led motion light battery may be out of power, so you have to charge it by bright sunlight, when it’s fully charged, please use Supplied Key Pin to unlock sensor light outdoor and outdoor lighting system, otherwise, it can’t work anymore.  3. If solar post lights is blink means the power is very low, you have to charge it by sunlight soon, otherwise, outdoor led lights solar will stop working soon.  4. lf there is no good sunlight or in winter sunlight, especial in North countries, it may take longer time to fully charge the motion solar lights and this is very normal for flood light outdoor  Main Features: ✔Solar panel absorbs sunlight into electrical energy and stored in the rechargeable battery. ✔Intelligent energy saving. No UV rays, environment-friendly. ✔It can be installed under the roof or fixed on the wall in your garden, gives you a good view and safety of your garden at night. ✔It can help to prevent serious accidents and emit rather than reflect light.  ✔The solar light is ideal for illuminating paths, decks, docks, boats, driveways, stairways, pavements and so on."
6,Clothing & Accessories,"KRISHNA FASHION Women's Cotton Traditional Patiala Salwars (Black, Red and White, Kris-patiala-3) - Pack of 3 KRISHNA FASHION patiala salwar is made from 100% cotton and is exclusively crafted by which results in pure cotton semi patiala salwar readymade. We provide the best semi patiala pants for women & girls. Cotton clothes undergo a normal shrinkage of 2-5% during first wash & leaves bit colour during first wash only."
7,Clothing & Accessories,Lux Inferno Mens Cotton Thermal Bottom Lux Inferno Front Open Charcoal Melange Thermal Bottom
8,Household,"Stanley Combination Plier with 8 inch Single Color Sleeve (Yellow and Black) Product description Stanley Combination Plier - 8 inch / 200 mm Model No - 70-461 - Anti-rust Protected - Combination Plier - Black Phosphate Finish - Hardened Body - Single Color Sleeve - C45 Material - Jaws and Cutting Edge are Induction Hardened and Tempered - Suitable for Live Wire Working and Household Applications 				    	 					 From the Manufacturer  Stanley Combination Plier   Whether you have a regular wire cutting need, holding or bending small objects, the one tool that has the ability to complete all these tasks is a combination plier. It is a versatile tool that needs to be present in every home tool box or an electrician’s tool kit.   How Does a Combination Plier Help You?   A plier is one of the most fundamental tools in a tool box. Gripping and cutting are the two main functions of a cutting plier. Every combination plier has three parts. The front most part is the jaws which are useful in holding small and flat parts tightly. The middle portion is the burner hole. This is ideal for gripping and rotating materials with a round surface. The cutting edges help in dividing the wires or small cables by cutting or slicing. It comes with an insulated handle that reduces the risk of an electric shock. It also ensures that there is a comfortable grip while you use the tool for various operations.   Features of Stanley Combination Plier   Stanley Combination Plier come in a lot of sizes and styles. This size of this model of Stanley combination plier is 8 inch / 200 mm - 70-461. It has a black phosphate finished s anti-rust protected which means, you no longer have to restrict the usage of your plier. It can be used in extreme environments such as high humidity. The jaws and the cutting edge are induction hardened with C45 material and tempered. It is suitable for live wire working and household applications. Pliers are heavy enough to hammer small tools such as small nails. Invest in Stanley combination plier and make the most of it, as it comes in handy in a lot of your everyday repairing activities.   Buy Your Favourite Tools from Stanley on Amazon India   When it comes to your hardware and tool kit needs, Amazon India is the right place to look for. With many sellers offering the products that you require, you are sure to get the best deals online. Browse through the vast collection of tools available from the brand Stanley. Add your favourite items to your cart, choose a payment method and get the products right to your doorstep. Experience hassle-free online shopping when you shop for your favourite products on Amazon India."
9,Clothing & Accessories,Biba Girls Anarkali Salwar Suit Set BIBA today is the most loved ethnic wear brand in the country. BIBA Girls products are available now.
